Topic,Qualification
PHP Developer,"- PHP: 2 years experience
- Wordpress (optional)
- JavaScript
- HTML5
- JQuery
- CSS3
- Web APIs

Essential skills for a PHP Developer."
Backend Developer,"* Backend development, server-side components
* Node.js, Express, Hapi, Socket.io
* REST APIs, Request, Response
* OAuth 2.0, OAuth 1.0, JWT, Basic Auth
* RDBMS, NoSQL DB, MySQL, MongoDB, Redis, DynamoDB
* Agile development methods
* Git
* Unit testing, available test frameworks
* Hands-on experience, fix defects
* Design, build, configure applications
* Node.js frameworks knowledge
* RESTful APIs implementation
* Security: OAuth, JWT, data protection
* Data storage solutions integration
* Problem-solving techniques, creative approaches
* Good coding practices, habits
* 1+ year experience
* Flexible shift
* Remote work

Note: The list is focused on the essential technical skills required for the role, excluding non-essential information such as academic qualifications, working conditions, and salary."
Full Stack Developer,"1. Full Stack Software Development
2. Real-time energy monitoring
3. Demand response
4. Virtual power plant
5. Distributed generation monitoring
6. Software engineering
7. Agile development (implied from ""take responsibility throughout software development lifecycle"")
8. Microservice development
9. Self-manage
10. Communicate clearly
11. Learn quickly
12. Interpersonal skills
13. Energy industry knowledge (implied from ""working directly with senior manager technology lead global organization"")
14. Technical skills (implied, as no specific technical skills are mentioned but assumed due to job title)"
Machine Learning,"1. Machine Learning Algorithms
2. Big Data technologies
3. SQL, data warehousing design patterns
4. Hadoop: Spark (Scala, PySpark), Map Reduce (Java)
5. UNIX shell scripting
6. Hive, Impala, Sqoop, Oozie, HBase, Kudu
7. Java, Scala, Python
8. Agile delivery methodology
9. Big data design patterns
10. Cloud-native platforms: EMR, Redshift, Data Factory, BigQuery
11. Strong troubleshooting, optimization
12. Continuous integration, deployment
13. Business requirement analysis
14. Experience: 2+ years, 4-year degree (CS, MCA), 2+ years hands-on development
15. Java, Scala, Python: production level coding
16. Team collaboration, independent work
17. Good communication, documentation skills
18. Good organizational, time management skills
19. Ability to work under deadlines
20. Detail-oriented
21. Adaptability to new technologies"
Node js developer,"1. Node.js, Express.js, Sails.js, Socket.io, Strong Loop, Meteor.js, Koa.js, Hapi.js
2. HTML/CSS/JavaScript
3. ES6/ES7/ES8 features
4. Request Lifecycle (Event Queue, Event Loop, Worker Threads)
5. Thorough understanding of Node.js and MongoDB
6. Familiarity with security principles and SSL protocols, data encryption, XSS, CSRF
7. Expertise in Web Services / REST APIs
8. Proficiency in Linux and deployment on Linux
9. Knowledge about ORM (Sequelize), ODM (Mongoose), and DB transactions
10. Agile, CI/CD
11. Git
12. Familiarity with HTML/CSS/JavaScript frameworks like Angular or React JS is a plus
13. Understanding of differences between mobile vs. desktop platforms
14. Performance optimization using benchmarking tools (gtmetrix.com, Google Page Speed)
15. User authentication and user authorization
16. Expertise in RDBMS (MySQL, PostgreSQL) is a plus
17. Knowledge of AWS services (S3, EC2) is helpful
18. Understanding of Agile and CI/CD is of value"
Node js developer,"**Node.js Developer**

* Node.js expertise
* 1-2 years experience
* Computer science degree or relevant field
* HTML, CSS, AJAX
* Object-oriented JavaScript, SVG
* Web libraries and frameworks: AngularJS, Polymer, Closure
* Familiarity with web stack: protocols, server optimization
* User authentication, data integration
* Scalable application design
* Platform optimization: mobile vs. desktop
* Database schema creation
* Automated testing, Git
* Agile development methods
* Code development, testing, operation
* Defect identification and fixing
* Software development: 1 year (Preferred)
* JavaScript: 1 year (Preferred)

Note: The following qualifications and skills were deemed non-essential and have been removed: previous working experience length, specific web libraries and frameworks mentioned, web server optimization techniques, problem solving aptitude, and temporary work-from-home arrangement due to COVID-19."
iOS Developer,"1. iOS development
2. Mobile apps development
3. Object-oriented programming (OOPS)
4. Swift/Objective-C (Cocoa) programming
5. 1+ years of experience

Note: It is assumed that basic programming concepts and time management skills are inherent to the role of an iOS Developer. Therefore, they were omitted from the list to keep it as concise and focused on the specific iOS development skills as possible."
DevOps Engineer,"- Extensive experience with Amazon Web Services (AWS) in public cloud deployment
- Building, running, and improving CI/CD frameworks (Jenkins, industrialization)
- Strong programming skills: Java, Python
- Experience with containerization (Docker, K8s)
- Microservices development experience
- Global-scale integration and industrialization of technology platforms (SaaS, PaaS, IaaS)
- Automation of operations processes
- Experience with DNS and CDNs (Akamai preferred)
- Implementation of Identity & Access Management (IAM) and Single Sign-On (SSO)
- Proficient in configuration management tools (Puppet, Chef, Ansible)
- Experience writing automated tests
- Strong learning abilities and self-starter
- Understanding of security and networking principles in cloud-native environments
- Familiarity with delivery methodologies (Scrum, Kanban, Waterfall)
- Demonstrated history of automating operations processes
- Strong Java and/or Python programming skills
- Containerization experience (Docker, K8s)
- Microservices development experience
- Global-scale technology platform integration and industrialization
- Strong experience with CI/CD frameworks (Jenkins)
- Familiarity with DNS and CDNs (Akamai preferred)
- Experience with IAM and SSO
- Proficient in Puppet, Chef, or Ansible for configuration management
- Ability to write automatic tests and make code bases more testable
- Strong understanding of security and networking principles in cloud-native environments.

Essential Skills:

1. AWS experience
2. CI/CD frameworks (Jenkins)
3. Programming skills"
PHP Developer,"1. PHP
2. Core PHP
3. Laravel, Codeigniter (Frameworks)
4. JavaScript (Vue.js)
5. WordPress Theme Development
6. API (Experience)
7. HTML, CSS
8. AJAX

(Preferred: 2 years experience)"
iOS Developer,"1. iOS application development
2. Swift, Rx Swift, Objective-C
3. Core Data, Core Animation
4. iOS frameworks
5. Apple design principles, interface guidelines
6. Self-motivated
7. Strong logical reasoning
8. 3-5+ years experience
9. Objective-C, Swift, Rx Swift expertise
10. Familiarity with iOS ecosystem
11. Passion for quality
12. Experienced with iOS frameworks (Core Data, Core Animation, etc.)
13. Understanding of Apple's design principles and interface guidelines.
14. Knowledgeable about the iOS ecosystem and libraries."
iOS Developer,"1. iOS development with Swift
2. Object-oriented programming
3. Cocoa APIs on OS X
4. Swift ecosystems
5. Performance optimization
6. Memory management
7. Multi-threading
8. Embedded databases
9. RESTful APIs
10. UI design
11. Git
12. Continuous integration
13. Swift proficiency
14. Good knowledge of Swift ecosystems
15. Solid understanding of object-oriented programming
16. Experience with Cocoa APIs
17. Good knowledge of performance limits and characteristics
18. Familiarity with low-level C-based libraries (optional)
19. Implementation of automated testing platforms and unit tests
20. Benchmarking and optimization
21. Understanding of Apple’s design principles and interface guidelines."
iOS Developer,"- iOS SDK, Swift, Objective-C
- Mobile app development, native iOS Applications
- MVVM, VIPER, CLEAN, OOP principles
- Storyboards, Auto Layout, Size Classes
- CoreData, Realm, SQLite, offline data management
- RxSwift, reactive paradigm
- Algorithms, data structures, memory management
- SaaS platforms: Analytics, Push Notifications, Cloud Storage, Ad Networks
- Debugging, unit-testing, memory optimization, performance optimization
- Fast-paced environment
- Good communication, people skills (optional for Software Developer)

Essential skills for an iOS Developer role:
1. iOS SDK: Swift, Objective-C
2. Mobile app development
3. Core technologies: MVVM, VIPER, CLEAN
4. UI designing: Storyboards, Auto Layout, Size Classes
5. Offline data management: CoreData, Realm, SQLite
6. Reactive programming: RxSwift
7. Algorithms, data structures, memory management
8. Debugging, unit-testing, memory optimization
9. Performance optimization
10. Fast-paced environment
11. Communication, people skills (depending on experience level)

These skills are essential for developing and maintaining native iOS applications, implementing new technologies, and collaborating with teams."
